question,parameter1,parameter2,keyword1,keyword2,module_ID,detailed answer,parameter reply
What is the right cap for SeriesC_pn 001?,seriesc_pn 001,,cap,,m_cap001,There is no cap that can be used with SeriesC_pn 001,not available
What is the right cap for SeriesC_pn 002?,seriesc_pn 002,,cap,,m_cap001,There is no cap that can be used with SeriesC_pn 002,not available
What is the right cap for SeriesC_pn 003?,seriesc_pn 003,,cap,,m_cap001,There is no cap that can be used with SeriesC_pn 003,not available
What is the right cap for SeriesC_pn 004?,seriesc_pn 004,,cap,,m_cap001,There is no cap that can be used with SeriesC_pn 004,not available
What is the right cap for SeriesC_pn 005?,seriesc_pn 005,,cap,,m_cap001,There is no cap that can be used with SeriesC_pn 005,not available
What is the right cap for SeriesC_pn 006?,seriesc_pn 006,,cap,,m_cap001,There is no cap that can be used with SeriesC_pn 006,not available
What is the right cap for SeriesC_pn 007?,seriesc_pn 007,,cap,,m_cap001,There is no cap that can be used with SeriesC_pn 007,not available
What is the right cap for SeriesC_pn 008?,seriesc_pn 008,,cap,,m_cap001,There is no cap that can be used with SeriesC_pn 008,not available
What is the right cap for SeriesC_pn 009?,seriesc_pn 009,,cap,,m_cap001,The cap for SeriesC_pn 009 is cap_001,cap_001
What is the right cap for SeriesC_pn 010?,seriesc_pn 010,,cap,,m_cap001,The cap for SeriesC_pn 010 is cap_001,cap_001
What is the right cap for SeriesC_pn 011?,seriesc_pn 011,,cap,,m_cap001,The cap for SeriesC_pn 011 is cap_001,cap_001
What is the right cap for SeriesC_pn 012?,seriesc_pn 012,,cap,,m_cap001,The cap for SeriesC_pn 012 is cap_001,cap_001
What is the right cap for SeriesC_pn 013?,seriesc_pn 013,,cap,,m_cap001,The cap for SeriesC_pn 013 is cap_001,cap_001
What is the right cap for SeriesC_pn 014?,seriesc_pn 014,,cap,,m_cap001,The cap for SeriesC_pn 014 is cap_001,cap_001
What is the right cap for SeriesC_pn 015?,seriesc_pn 015,,cap,,m_cap001,The cap for SeriesC_pn 015 is cap_001,cap_001
What is the right cap for SeriesC_pn 016?,seriesc_pn 016,,cap,,m_cap001,The cap for SeriesC_pn 016 is cap_001,cap_001
